top - 13:59:56 up 51 days, 19:42,  0 users,  load average: 0.29, 0.11, 0.07
Tasks: 103 total,   1 running, 102 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.2 us,  3.2 sy,  0.0 ni, 93.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  2046508 total,   730528 free,   468708 used,   847272 buff/cache
KiB Swap:  1049596 total,   995848 free,    53748 used.  1380612 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 7163 zhangyi+  20   0  974232  79976  23064 S   6.7  3.9   0:04.19 node
31171 root      20   0 1024064  82312  11412 S   6.7  4.0 321:48.89 YDService
    1 root      20   0  125544   3468   2152 S   0.0  0.2   6:22.64 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:02.01 kthreadd
    4 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
    6 root      20   0       0      0      0 S   0.0  0.0   0:43.00 ksoftirqd/0
    7 root      rt   0       0      0      0 S   0.0  0.0   0:23.71 migration/0
    8 root      20   0       0      0      0 S   0.0  0.0   0:01.15 rcu_bh
    9 root      20   0       0      0      0 S   0.0  0.0  18:15.83 rcu_sched
   10 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 lru-add-drain
   11 root      rt   0       0      0      0 S   0.0  0.0   0:15.26 watchdog/0
   12 root      rt   0       0      0      0 S   0.0  0.0   0:13.94 watchdog/1
   13 root      rt   0       0      0      0 S   0.0  0.0   0:23.81 migration/1
   14 root      20   0       0      0      0 S   0.0  0.0   0:39.29 ksoftirqd/1
   16 root       0 -20       0      0      0 S   0.0  0.0   0:30.28 kworker/1:0H
   18 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   19 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   20 root      20   0       0      0      0 S   0.0  0.0   0:01.15 khungtaskd
   21 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   22 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   23 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   27 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 edac-poller
   29 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 watchdogd
   36 root      20   0       0      0      0 S   0.0  0.0   0:03.95 kswapd0
   37 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   38 root      39  19       0      0      0 S   0.0  0.0   0:08.02 khugepaged
   39 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   47 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
   49 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmpath_rdacd
   50 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kaluad
   51 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
   52 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrconf
   65 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
  105 root      20   0       0      0      0 S   0.0  0.0   1:10.00 kauditd
  207 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 iscsi_eh
  255 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
  264 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
  265 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
  266 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:1H
  267 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
  268 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
  270 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ttm_swap
  287 root       0 -20       0      0      0 S   0.0  0.0   3:37.42 kworker/0:1H
  292 root      20   0       0      0      0 S   0.0  0.0  10:48.62 jbd2/vda1-8
  293 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-conver
  387 root      20   0  170184  91920  91764 S   0.0  4.5  13:33.77 systemd-journal
  409 root      20   0  116644    756    756 S   0.0  0.0   0:00.00 lvmetad
  416 root      20   0   45400   1372   1056 S   0.0  0.1   0:00.07 systemd-udevd
  604 root      16  -4   55532    740    612 S   0.0  0.0   3:06.50 auditd
